X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1164291,FS2- $1.99 DD COFFEE DONUT,$1.99 DD COFFEE DONUT,50,n,2019-09-03,2020-01-01,y,fd srv- DD Co-op Coffee 10z,Quantity,1,Set Retail,1.19,y
1164291,FS2- $1.99 DD COFFEE DONUT,,,,,,,fd srv- DD DONUT,Quantity,1,Set Retail,0.8,y
1164292,FS2- $1.99 DD REFILL COFF DON,$1.99 DD REFILL COFF DON,51,n,2019-09-03,2020-01-01,y,fd srv- DD CO-OP REFILL,Quantity,1,Set Retail,1.2,y
1164292,FS2- $1.99 DD REFILL COFF DON,,,,,,,fd srv- DD DONUT,Quantity,1,Set Retail,0.79,y
1164055,FS2- $2.99 OM LUNCHABLE,$2.99 OM LUNCHABLE,200,n,2019-09-03,2020-01-01,y,fd srv- OM CRACKER LUNCHABLES,Quantity,1,Set Retail,2.99,y
1163329,FS2- $5 BURGER CHIP NAOP,$5 BURGER CHIP NAOP,4,n,2019-07-19,2020-01-01,y,fdmfn-CAFE BURGERS,Quantity,1,Set Retail,3.12,y
1163329,FS2- $5 BURGER CHIP NAOP,,,,,,,fd srv- Fountain 32z,Quantity,1,Set Retail,0.69,y
1163329,FS2- $5 BURGER CHIP NAOP,,,,,,,consum- SPEEDY CHOICE CHIPS,Quantity,1,Set Retail,1.19,y
1163328,FS2- $5 BURGER SPUD NAOP,$5 BURGER SPUD NAOP,4,n,2019-07-19,2020-01-01,y,fdmfn-CAFE BURGERS,Quantity,1,Set Retail,3.02,y
1163328,FS2- $5 BURGER SPUD NAOP,,,,,,,fd srv- Fountain 32z,Quantity,1,Set Retail,0.69,y
1163328,FS2- $5 BURGER SPUD NAOP,,,,,,,fdmfn- SMALL SPEEDY SPUDS PLAIN,Quantity,1,Set Retail,1.29,y
1163600,FS2- 2 SLICES 1 COFFEE $5 ,2 SLICES 1 COFFEE $5 ,18,n,2019-08-01,2019-09-02,y,fd srv- BREAKFAST 2F$4,Quantity,2,Set Retail,4.12,y
1163600,FS2- 2 SLICES 1 COFFEE $5 ,,,,,,,fd srv- COFFEE 12Z-24Z,Quantity,1,Set Retail,0.88,y
1163597,FS2- 2 SLICES 1 FNT $4,2 SLICES 1 FNT $4,17,n,2019-08-01,2019-09-02,y,fd srv- MTC PIZZA SLICE,Quantity,2,Set Retail,3.32,y
1163597,FS2- 2 SLICES 1 FNT $4,,,,,,,fd srv- FOUNTAIN 20/30Z,Quantity,1,Set Retail,0.68,y
1163598,FS2- 2 SLICES 1 FNT $4 GA,2 SLICES 1 FNT $4 GA,16,n,2019-08-01,2019-09-02,y,fd srv- MTC PIZZA SLICE,Quantity,2,Set Retail,3.52,y
1163598,FS2- 2 SLICES 1 FNT $4 GA,,,,,,,fd srv- FOUNTAIN 20/30Z,Quantity,1,Set Retail,0.48,y
1164305,FS2- 2/$3 ROLTINI,2/$3 ROLTINI,50,n,2019-09-03,2019-10-30,y,fd srv- ROLTINI,Quantity,2,Set Retail,3,y
1163556,FS2- 2F$2 JAMWICH,2F$2 JAMWICH,15,n,2019-08-01,2019-09-02,y,fd srv- JAMWICH,Quantity,2,Set Retail,2,y
