specialXRefID,specialName,specialReceiptText,priorityRanking,requiresLoyalty,startDate,endDate,status,retailItemGroupName,minimumIdentifier,minimumValue,discountType,discountValue,taxReduced
1156168,1005-Loy CamNew $2.80 OFF-19,Loy CamNew $2.80 OFF-19,3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,2.8000,y
1156374,1005-Loy CamNew $2.80 OFF-4,Loy CamNew $2.80 OFF,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,2.8000,y
1156375,1005-Loy CamNew $2.80 OFF-5,Loy CamNew $2.80 OFF,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,2.8000,y
1156347,1005-Loy CamNew $3 OFF-4,Loy CamNew $3 OFF,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,3.0000,y
1156348,1005-Loy CamNew $3 OFF-5,Loy CamNew $3 OFF,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,3.0000,y
1156178,1005-Loy CamNew $3.00 OFF-10,Loy CamNew $3.00 OFF-10,12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,3.0000,y
1156179,1005-Loy CamNew $3.00 OFF-11,Loy CamNew $3.00 OFF-11,11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,3.0000,y
1156169,1005-Loy CamNew $3.00 OFF-20,Loy CamNew $3.00 OFF-20,2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,3.0000,y
1156436,1005-Loy CamNew $3.00 OFF-8,Loy CamNew $3.00 OFF,14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,3.0000,y
1156437,1005-Loy CamNew $3.00 OFF-9,Loy CamNew $3.00 OFF,13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,3.0000,y
1156415,1005-Loy CamNew $3.10 OFF-6,Loy CamNew $3.10 OFF,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,3.1000,y
1156416,1005-Loy CamNew $3.10 OFF-7,Loy CamNew $3.10 OFF,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,3.1000,y
1156307,1005-Loy CamNew $3.20 OFF-4,Loy CamNew $3.20 OFF,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,3.2000,y
1156308,1005-Loy CamNew $3.20 OFF-5,Loy CamNew $3.20 OFF,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,3.2000,y
1156180,1005-Loy CamNew $3.40 OFF-12,Loy CamNew $3.40 OFF-12,10,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,12.0000,Price Discount,3.4000,y
1156181,1005-Loy CamNew $3.40 OFF-13,Loy CamNew $3.40 OFF-13,9,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,13.0000,Price Discount,3.4000,y
1156438,1005-Loy CamNew $3.50 OFF-10,Loy CamNew $3.50 OFF,12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,3.5000,y
1156439,1005-Loy CamNew $3.50 OFF-11,Loy CamNew $3.50 OFF,11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,3.5000,y
1156376,1005-Loy CamNew $3.70 OFF-6,Loy CamNew $3.70 OFF,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,3.7000,y
1156377,1005-Loy CamNew $3.70 OFF-7,Loy CamNew $3.70 OFF,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,3.7000,y
1156182,1005-Loy CamNew $3.80 OFF-14,Loy CamNew $3.80 OFF-14,8,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,14.0000,Price Discount,3.8000,y
1156183,1005-Loy CamNew $3.80 OFF-15,Loy CamNew $3.80 OFF-15,7,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,15.0000,Price Discount,3.8000,y
1156417,1005-Loy CamNew $3.80 OFF-8,Loy CamNew $3.80 OFF,14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,3.8000,y
1156418,1005-Loy CamNew $3.80 OFF-9,Loy CamNew $3.80 OFF,13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,3.8000,y
1156349,1005-Loy CamNew $4 OFF-6,Loy CamNew $4 OFF,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,4.0000,y
