04-20-19T15:35:28: Start Log
04-20-19T15:35:28: Processing File: Chuck.xlsx
04-20-19T15:37:07: Item Rows: 830, External Id: 34801248
04-20-19T15:37:07: Item Rows: 840, External Id: 1100286
04-20-19T15:37:08: Item Rows: 850, External Id: 36000738
04-20-19T15:37:09: Item Rows: 860, External Id: 36001000
04-20-19T15:37:09: Item Rows: 870, External Id: 36001274
04-20-19T15:37:10: Item Rows: 880, External Id: 36002606
04-20-19T15:37:11: Item Rows: 890, External Id: 36002073
04-20-19T15:37:12: Item Rows: 900, External Id: 36010673
04-20-19T15:37:12: Item Rows: 910, External Id: 36011104
04-20-19T15:37:13: Item Rows: 920, External Id: 36011482
04-20-19T15:37:13: Item Rows: 930, External Id: 36011873
04-20-19T15:37:14: Item Rows: 940, External Id: 36003748
04-20-19T15:37:15: Item Rows: 950, External Id: 36003499
04-20-19T15:37:16: Item Rows: 960, External Id: 36011970
04-20-19T15:37:16: Item Rows: 970, External Id: 36004991
04-20-19T15:37:17: Item Rows: 980, External Id: 36004022
04-20-19T15:37:17: Item Rows: 990, External Id: 36003911
04-20-19T15:37:19: Item Rows: 1000, External Id: 36003754
04-20-19T15:37:19: Item Rows: 1010, External Id: 36005706
04-20-19T15:37:20: Item Rows: 1020, External Id: 36006466
04-20-19T15:37:20: Item Rows: 1030, External Id: 36005583
04-20-19T15:37:21: Item Rows: 1040, External Id: 36006374
04-20-19T15:37:21: Item Rows: 1050, External Id: 36003424
04-20-19T15:37:22: Item Rows: 1060, External Id: 36009316
04-20-19T15:37:23: Item Rows: 1070, External Id: 36010491
04-20-19T15:37:23: Item Rows: 1080, External Id: 36010162
04-20-19T15:37:23: Item Rows: 1090, External Id: 36014168
04-20-19T15:37:24: Item Rows: 1100, External Id: 36014898
04-20-19T15:37:25: Item Rows: 1110, External Id: 36014504
04-20-19T15:37:25: Item Rows: 1120, External Id: 36015586
04-20-19T15:37:25: Item Rows: 1130, External Id: 36017249
04-20-19T15:37:26: Item Rows: 1140, External Id: 36015979
04-20-19T15:37:27: Item Rows: 1150, External Id: 36016501
04-20-19T15:37:27: Item Rows: 1160, External Id: 36016713
04-20-19T15:37:27: Finished File: Retail Item-601 General Merchan_03.xlsx
04-20-19T15:37:27: File created in final csv folder: Retail Item-601 General Merchan_03.csv
04-20-19T15:37:27: ...
04-20-19T15:37:28: Processing File: Retail Item-Bottom 601 General Merchan_03.xlsx
04-20-19T15:37:30: Item Rows: 10, External Id: 36015003
04-20-19T15:37:31: Item Rows: 20, External Id: 36014457
04-20-19T15:37:31: Item Rows: 30, External Id: 36016013
04-20-19T15:37:31: Item Rows: 40, External Id: 36016897
04-20-19T15:37:32: Item Rows: 50, External Id: 36015000
04-20-19T15:37:32: Item Rows: 60, External Id: 36016294
04-20-19T15:37:33: Finished File: Retail Item-Bottom 601 General Merchan_03.xlsx
04-20-19T15:37:33: File created in final csv folder: Retail Item-Bottom 601 General Merchan_03.csv
04-20-19T15:37:33: ...
04-20-19T15:37:33: End Log
